Date,Price,Open,Vol.
3/1/2021,1724.4,1739,0.06
2/26/2021,1730.1,1766.8,0.15
2/25/2021,1776.9,1776.9,316.25
2/24/2021,1797.9,1805,224.06
2/23/2021,1805.9,1809.3,191.15
2/22/2021,1808.4,1782,221.2
2/19/2021,1777.4,1774.6,251.78
2/18/2021,1775,1776,224.77
2/17/2021,1772.8,1793.1,257.34
2/16/2021,1799,1826,355.92
2/15/2021,1799,1826,355.92
2/12/2021,1823.2,1825.4,171.9
2/11/2021,1826.8,1844.3,147.02
2/10/2021,1842.7,1838.3,176.44
2/9/2021,1837.5,1832.4,154.39
2/8/2021,1834.2,1818.1,177.56
2/5/2021,1813,1794.3,205.76
2/4/2021,1791.2,1834.5,279.62
2/3/2021,1835.1,1838.5,137.23
2/2/2021,1833.4,1863.6,236
2/1/2021,1863.9,1865,242.05
1/29/2021,1850.3,1845.6,276.17
1/28/2021,1841.2,1847.2,277.59
1/27/2021,1846.8,1851.2,1.93
1/26/2021,1852.8,1856,0.81
1/25/2021,1856.9,1856.4,0.99
1/22/2021,1857.9,1871.2,1.06
1/21/2021,1867.5,1873,0.73
1/20/2021,1868.5,1841.7,0.62
1/19/2021,1842,1830.6,0.4
1/18/2021,1840.2,1828.8,331.59
1/15/2021,1831.7,1855,0.38
1/14/2021,1853.3,1848.1,0.16
1/13/2021,1856.8,1860,0.26
1/12/2021,1846.1,1849.3,0.2
1/11/2021,1852.7,1851.2,0.15
1/8/2021,1837.3,1911.2,0.93
1/7/2021,1915.6,1924.2,0.23
1/6/2021,1910.4,1957.4,0.48
1/5/2021,1956.7,1945.5,0.17
1/4/2021,1949,1917.8,0.28
12/31/2020,1897.3,1899.8,0
12/30/2020,1895.6,1895.6,133.66
12/29/2020,1882.9,1878,149.27
12/28/2020,1880.4,1887,196.76
12/24/2020,1883.2,1877.3,89.41
12/23/2020,1878.1,1865.6,162.54
12/22/2020,1870.3,1883,176.02
12/21/2020,1882.8,1892.9,232.05
12/18/2020,1888.9,1891.3,153.23
12/17/2020,1890.4,1868.4,219.87
12/16/2020,1859.1,1857.7,199.68
12/15/2020,1855.3,1830.5,173.61
12/14/2020,1832.1,1845,168.49
12/11/2020,1843.6,1840,153.8
12/10/2020,1837.4,1843,164.8
12/9/2020,1838.5,1875.4,219.59
12/8/2020,1874.9,1866.1,151.79
12/7/2020,1866,1841.1,209.04
12/4/2020,1840,1844.7,171.26
12/3/2020,1841.1,1833.9,180.36
12/2/2020,1830.2,1819.1,185.32
12/1/2020,1818.9,1780.3,203.65
11/30/2020,1780.9,1790.8,242.73
11/27/2020,1788.1,1812.1,282.35
11/26/2020,1788.1,1812.1,282.35
11/25/2020,1808.8,1809.8,1.49
11/24/2020,1808.1,1839,1.28
11/23/2020,1841.5,1872.9,0.71
11/20/2020,1875.7,1862.9,0.17
11/19/2020,1864.8,1874.8,0.6
11/18/2020,1877.1,1884.5,0.3
11/17/2020,1888.8,1891.2,0.07
11/16/2020,1891.5,1891.5,0.42
11/13/2020,1890.7,1881.5,0.11
11/12/2020,1877.8,1869,0.24
